Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0100928530626795,-8.48766786223145E-05,0.0417109438407734,0,0,0,1.70037419863104,0.011026305690898,1.15603196843698E-08,0.000185395732857202,0.0172159470283866,-8.11570230509126E-09,0.0151809445338661,0,0,0,0,0,0,package://DuckDuck/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/base.STL,,body_shell-2;body-1;6010-36-5;6010-36-6;4310-36-12,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_yaw,-0.0148415027804522,-1.42278207764107E-05,0.00518098759586441,0,0,0,0.22770651071542,0.00016064594987398,-1.05844380132887E-08,2.79494697437767E-06,0.000122883197379238,5.01180502056565E-08,0.000114845036646105,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_yaw.STL,,hip_yaw_roll_link-1;6010-36-4,left_hip_yaw,axis_left_hip_yaw,left_hip_yaw_joint,revolute,0,0.04,0,0,0,0,base,0,0,1,0,0,0,0,,,,,,,,
left_hip_roll,0.000168686556307626,0.0732538542750958,-1.42428991109084E-05,0,0,0,0.22746544778837,0.000139061664775468,9.72203682012484E-07,-3.27718468280349E-09,0.000154215112847962,5.578633543099E-08,0.000132221036670331,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_roll.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_roll.STL,,hip_roll_pitch_link-1;6010-36-3,left_hip_roll,axis_left_hip_roll,left_hip_roll_joint,revolute,0,0,0,0,0,0,left_hip_yaw,1,0,0,0,0,0,0,,,,,,,,
left_hip_pitch,-2.1854845288882E-16,0.0845594117245168,-0.125225619873394,0,0,0,0.24023854356995,0.000225138484662056,9.53108124210592E-22,-1.34600092260421E-19,0.000288595828376715,3.53759497379051E-20,0.000123129101652142,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_pitch.STL,,calf-1;6010-36-2,left_hip_pitch,axis_left_hip_pitch,left_hip_pitch_joint,revolute,0,0,0,0,0,0,left_hip_roll,0,1,0,0,0,0,0,,,,,,,,
left_knee_pitch,-1.9169709838289E-16,-0.00857325265941816,-0.127010278601144,0,0,0,0.232718078417979,0.000202660360914128,3.87937677644539E-21,-1.28952471042899E-19,0.000249803523853592,4.27797624204847E-20,0.000106783585605481,0,0,0,0,0,0,package://DuckDuck/meshes/left_knee_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_knee_pitch.STL,,thigh-1;6010-36-1,left_knee_pitch,axis_left_hip_pitch,left_knee_pitch_joint,revolute,0,0.0936181760425075,-0.14,0,0,0,left_hip_pitch,0,1,0,0,0,0,0,,,,,,,,
left_ankle_pitch,0.0165320915802278,0.000878638979678131,-0.0350036570544408,0,0,0,0.0934205516990419,4.08203466514557E-05,1.35770948841668E-06,3.73111146640662E-07,0.000143785268215984,-2.85203021993324E-06,0.000109322370322001,0,0,0,0,0,0,package://DuckDuck/meshes/left_ankle_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_ankle_pitch.STL,,right_foot-1,left_ankle_pitch,axis_left_ankle_pitch,left_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,left_knee_pitch,0,1,0,0,0,0,0,,,,,,,,
right_hip_yaw,-0.0148415027804522,-1.4227820776147E-05,0.00518098759586436,0,0,0,0.22770651071542,0.00016064594987398,-1.05844380133239E-08,2.79494697437761E-06,0.000122883197379238,5.01180502056588E-08,0.000114845036646105,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_yaw.STL,,hip_yaw_roll_link-2;6010-36-7,right_hip_yaw,axis_right_hip_yaw,right_hip_yaw_joint,revolute,0,-0.04,0,0,0,0,base,0,0,1,0,0,0,0,,,,,,,,
right_hip_roll,0.000168686556307084,-0.073253854275096,1.42428991107002E-05,0,0,0,0.22746544778837,0.000139061664775468,-9.72203682012507E-07,3.27718468277944E-09,0.000154215112847962,5.57863354310647E-08,0.000132221036670331,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_roll.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_roll.STL,,hip_roll_pitch_link-2;6010-36-8,right_hip_roll,axis_right_hip_roll,right_hip_roll_joint,revolute,0,0,0,0,0,0,right_hip_yaw,1,0,0,0,0,0,0,,,,,,,,
right_hip_pitch,9.80659937259572E-17,-0.0845594117245176,-0.125225619873394,0,0,0,0.24023854356995,0.000225138484662056,-5.10216785538961E-20,-1.59756425112216E-19,0.000288595828376715,-2.4227586952317E-20,0.000123129101652142,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_pitch.STL,,calf-2;6010-36-9,right_hip_pitch,axis_right_hip_pitch,right_hip_pitch_joint,revolute,0,0,0,0,0,0,right_hip_roll,0,-1,0,0,0,0,0,,,,,,,,
right_knee_pitch,-1.85737083378316E-16,0.00857325265941841,-0.127010278601144,0,0,0,0.232718078417979,0.000202660360914127,-3.4191708323686E-20,-1.53618567240911E-19,0.000249803523853592,2.62948010064838E-20,0.000106783585605481,0,0,0,0,0,0,package://DuckDuck/meshes/right_knee_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_knee_pitch.STL,,thigh-2;6010-36-10,right_knee_pitch,axis_right_knee_pitch,right_knee_pitch_joint,revolute,0,-0.0936181760425084,-0.14,0,0,0,right_hip_pitch,0,-1,0,0,0,0,0,,,,,,,,
